container_id,receptacle_model_id,assignment_date,last_updated_date,group_name,address,city,state,zip,neighborhood,dpw_division,council_district,ward,fire_zone,x,y
234,74,2017-09-21T10:50:21,2019-11-10T02:25:58,5th Division,113 Clover Street,Pittsburgh,Pennsylvania,15210,Arlington,3,3,16,4-22,-79.97144,40.41747
588,74,2018-04-06T10:23:36,2019-11-10T03:00:24,5th Division,3145 Banksville Road,Pittsburgh,Pennsylvania,15216,Banksville,5,2,20,4-9,-80.04412,40.39966
478,74,2018-03-16T15:12:28,2019-11-10T02:22:24,3rd Division,265 Devilliers Street,Pittsburgh,Pennsylvania,15219,Bedford Dwellings,3,6,5,2-1,-79.98246,40.44653
411,74,2017-09-28T16:08:27,2019-11-10T15:05:21,3rd Division,2522 Bedford Avenue,Pittsburgh,Pennsylvania,15219,Bedford Dwellings,3,6,5,2-5,-79.97215966,40.4507767
615,74,2018-04-06T10:23:37,2019-11-10T03:07:53,3rd Division,2305 Bedford Avenue,Pittsburgh,Pennsylvania,15219,Bedford Dwellings,3,6,5,2-5,-79.97549165,40.44950149
335,74,2017-09-26T12:36:25,2019-11-10T02:27:31,5th Division,1607 Broadway Ave,Pittsburgh,Pennsylvania,15216,Beechview,5,4,19,4-28,-80.02456487,40.41027109
390,74,2017-09-28T16:08:26,2019-11-10T07:00:18,5th Division,1550 Beechview Avenue,Pittsburgh,Pennsylvania,15216,Beechview,5,4,19,4-28,-80.0248,40.41093
347,74,2017-09-26T12:36:26,2019-11-10T13:05:22,5th Division,2102 Broadway Ave,Pittsburgh,Pennsylvania,15216,Beechview,5,4,19,4-28,-80.03000816,40.40537749
339,74,2017-09-26T12:36:25,2019-11-10T02:30:22,5th Division,1942 Broadway Ave,Pittsburgh,Pennsylvania,15216,Beechview,5,2,20,4-28,-80.02837601,40.40652623
348,74,2017-09-26T12:36:26,2019-11-10T02:02:19,5th Division,1553 Broadway Ave,Pittsburgh,Pennsylvania,15216,Beechview,5,4,19,4-28,-80.02457,40.41102
340,74,2017-09-26T12:36:25,2019-11-10T16:05:52,5th Division,1621 Broadway Ave,Pittsburgh,Pennsylvania,15216,Beechview,5,4,19,4-28,-80.0244955,40.40963668
143,74,2017-09-19T12:22:52,2019-11-10T16:10:22,5th Division,1616 Broadway Ave,Pittsburgh,Pennsylvania,15216,Beechview,5,4,19,4-28,-80.02479895,40.41017426
136,74,2017-09-19T12:22:51,2019-11-10T12:21:24,5th Division,1616 Broadway Ave,Pittsburgh,Pennsylvania,15216,Beechview,5,4,19,4-28,-80.0247874,40.41001816
228,74,2017-09-21T10:50:21,2019-11-10T02:00:14,5th Division,120 Beltzhoover Ave,Pittsburgh,Pennsylvania,15210,Beltzhoover,5,3,18,4-21,-79.99745353,40.42135558
213,74,2017-09-21T10:50:21,2019-11-10T02:18:21,5th Division,570 E Warrington Ave,Pittsburgh,Pennsylvania,15210,Beltzhoover,5,3,18,4-21,-79.99764,40.42157
