address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"100 BLOCK 19TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2015,3,0,South Side Flats,3,17,42003170200,3,3,4-24,40.4281368118648,-79.9794544619025
"100 BLOCK 21ST ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,2,3,South Side Flats,3,17,42003170200,3,3,4-24,40.4282805276651,-79.9763035769588
"100 BLOCK 35TH ST PITTSBURGH, PA 15201",1,0,0,1,0,0,2016,11,1,,,,,,2,,,
"<100 BLOCK 40TH ST PITTSBURGH, PA 15201",1,0,1,0,0,0,2017,4,2,Central Lawrenceville,7,9,42003090100,2,2,3-3,40.4714991679496,-79.9657672563616
"100 BLOCK 5TH AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,5,2,Central Business District,6,1,42003020100,6,2,1-3,40.4414141263058,-80.0028765755338
"100 BLOCK 7TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,1,Central Business District,6,2,42003020100,6,2,1-3,40.4441447479242,-80.000996797488
"100 BLOCK 9TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,11,6,,,,,,2,,,
"100 BLOCK 9TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,2,,,,,,2,,,
"100 BLOCK ADDISON PL PITTSBURGH, PA",2,0,2,0,0,0,2017,6,3,,,,,,2,,,
"<100 BLOCK ALLEGHENY SQE PITTSBURGH, PA 15212",1,1,0,0,0,0,2017,3,3,Allegheny West,1,22,42003562700,1,1,1-8,40.4493731524498,-80.0182065181231
"<100 BLOCK ALMEDA ST PITTSBURGH, PA 15207",1,0,1,0,0,0,2015,12,4,Hazelwood,5,15,42003562300,3,4,2-13,40.4029341672071,-79.9418689977107
"<100 BLOCK ALMEDA ST PITTSBURGH, PA 15207",1,0,0,1,0,0,2017,11,5,Hazelwood,5,15,42003562300,3,4,2-13,40.4029341672071,-79.9418689977107
"100 BLOCK ALPINE AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,6,1,Central Northside,6,25,42003250300,1,1,1-21,40.4587061869282,-80.0089485547709
"100 BLOCK AMANDA AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2019,4,4,Carrick,4,29,42003290200,3,3,4-12,40.4008838787087,-79.988436607001
"<100 BLOCK AUBURN ST PITTSBURGH, PA 15206",2,0,1,1,0,0,2019,7,0,Larimer,9,12,42003120800,2,5,3-10,40.4654863647939,-79.9176158270998
"<100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,12,1,Larimer,9,12,42003120800,2,5,3-10,40.4654863647939,-79.9176158270998
"<100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2018,4,3,Larimer,9,12,42003120800,2,5,3-10,40.4654863647939,-79.9176158270998
"100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,3,3,,,,,,5,,,
"100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2018,3,3,,,,,,5,,,
"<100 BLOCK AZIMUTH CT PITTSBURGH, PA 15206",2,0,1,1,0,0,2018,3,3,Highland Park,7,11,42003110200,2,5,3-9,40.4767152302122,-79.9211342176114
"<100 BLOCK BAILEY AVE PITTSBURGH, PA 15211",1,0,1,0,0,0,2016,11,3,Mount Washington,3,18,42003180700,5,3,4-27,40.4270314500304,-80.0053939376274
"<100 BLOCK BASCOM AVE PITTSBURGH, PA 15214",1,0,1,0,0,0,2018,5,3,,,,42003429700,,1,,40.4931373503537,-80.0419649296072
"100 BLOCK BAUSMAN ST PITTSBURGH, PA 15210",3,1,1,0,1,0,2016,11,4,Knoxville,3,30,42003300100,5,3,4-7,40.4144329309364,-79.9880773866418
"<100 BLOCK BEDFORD SQ PITTSBURGH, PA 15203",1,0,1,0,0,0,2019,9,3,South Side Flats,3,17,42003170200,3,3,4-24,40.4296551499678,-79.9866760656623
"<100 BLOCK BELTZHOOVER AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,3,1,Beltzhoover,3,18,42003562400,5,3,4-21,40.4199710984937,-79.9973571665514
"100 BLOCK BELTZHOOVER AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,6,2,Mount Washington,3,18,42003180700,5,3,4-5,40.4221741290321,-79.9976784451397
"100 BLOCK BELTZHOOVER AVE PITTSBURGH, PA 15211",1,0,1,0,0,0,2017,8,4,Mount Washington,3,18,42003180700,5,3,4-5,40.4221741290321,-79.9976784451397
"100 BLOCK BERRY ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2016,7,4,,,,,,6,,,
"<100 BLOCK BIGELOW SQ PITTSBURGH, PA 15219",1,0,1,0,0,0,2017,5,5,Central Business District,6,2,42003020100,6,2,2-4,40.4408367018107,-79.9944321915925
"<100 BLOCK BIGELOW SQ PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,10,5,Central Business District,6,2,42003020100,6,2,2-4,40.4408367018107,-79.9944321915925
"<100 BLOCK BLANFORD CT PITTSBURGH, PA 15206",2,0,2,0,0,0,2015,5,6,,,,,,5,,,
"<100 BLOCK BLANFORD CT PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,8,3,,,,,,5,,,
"<100 BLOCK BOSTON ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2017,2,1,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4694690562742,-80.0357486667069
"100 BLOCK BOUNDARY ST PITTSBURGH, PA 15213",4,0,0,2,2,0,2017,3,3,Squirrel Hill South,5,14,42003151600,3,4,2-12,40.4286511909524,-79.9491496166497
"<100 BLOCK CABLE PL PITTSBURGH, PA 15213",1,0,1,0,0,0,2019,5,5,,,,42003510000,,4,,40.3994243087808,-79.8356515703521
"100 BLOCK CAPE MAY AVE PITTSBURGH, PA 15216",1,0,1,0,0,0,2017,9,0,Beechview,4,19,42003191600,5,6,4-28,40.4084766853769,-80.0178101240689
"<100 BLOCK CEDRICTON ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2017,6,3,Carrick,4,29,42003290100,3,3,4-7,40.4048084593804,-79.9926446321042
"100 BLOCK CHARLES ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,2,2,Knoxville,3,30,42003300100,5,3,4-6,40.4166475121147,-79.988182545885
"100 BLOCK CLIMAX ST PITTSBURGH, PA 15210",3,1,1,1,0,0,2015,7,4,,,,,,3,,,
"<100 BLOCK COURTRIGHT ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,9,2,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4755901096873,-80.0312217659577
"100 BLOCK CRESTLINE PL PITTSBURGH, PA 15221",1,0,0,1,0,0,2019,6,4,East Hills,9,13,42003130600,2,5,3-19,40.4515885312781,-79.8761828588642
"100 BLOCK DEWITT ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2018,9,0,Mount Washington,2,19,42003191400,5,3,4-27,40.4245005376682,-80.0099413070477
"100 BLOCK E 8TH AVE HOMESTEAD , PA 15102",11,0,5,3,3,0,2015,9,1,,,,42003483800,,OSC,,40.4059318891126,-79.9118297649661
"100 BLOCK E AMANDA AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,5,6,Carrick,4,29,42003290200,3,3,4-12,40.4008838787087,-79.988436607001
"100 BLOCK E CARSON ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,8,3,South Side Flats,3,17,42003170200,3,3,4-24,40.4285684808581,-79.9876493712047
"100 BLOCK E CARSON ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2017,4,4,South Side Flats,3,17,42003170200,3,3,4-24,40.4285684808581,-79.9876493712047
"<100 BLOCK EDITH PL PITTSBURGH, PA 15213",1,0,0,1,0,0,2015,6,2,South Oakland,3,4,42003040900,3,4,2-11,40.4331373326213,-79.9548876539835
"<100 BLOCK ELMONT ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2017,5,6,Crafton Heights,2,28,42003281500,5,6,1-18,40.4392088614771,-80.0558603130043
"100 BLOCK ELMONT ST PITTSBURGH, PA 15205",2,0,1,0,0,1,2019,9,2,,,,,,6,,,
"<100 BLOCK ELMORE ST PITTSBURGH, PA 15219",1,0,0,1,0,0,2015,3,5,Middle Hill,6,5,42003050100,3,2,2-1,40.4467202069578,-79.9787018349359
"100 BLOCK E MC INTYRE AVE PITTSBURGH, PA 15214",1,0,1,0,0,0,2015,7,0,Perry South,6,26,42003261400,1,1,1-12,40.4685389638823,-80.011788521934
"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,7,0,,,,,,5,,,
"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2017,3,6,,,,,,5,,,
"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2017,4,3,,,,,,5,,,
"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",2,0,2,0,0,0,2015,6,4,,,,,,5,,,
"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2019,8,1,,,,,,5,,,
"100 BLOCK ESTELLA AVE PITTSBURGH, PA 15211",1,0,1,0,0,0,2017,3,2,Mount Washington,3,18,42003180700,5,3,4-5,40.4221689173027,-80.0009499479526
"100 BLOCK ESTELLA AVE PITTSBURGH, PA 15211",1,0,1,0,0,0,2017,4,5,Mount Washington,3,18,42003180700,5,3,4-5,40.4221689173027,-80.0009499479526
"100 BLOCK FINLEY ST PITTSBURGH, PA 15206",2,0,0,2,0,0,2017,1,1,Larimer,9,12,42003120800,2,5,3-10,40.4591712094623,-79.9098917629346
"100 BLOCK FLOWERS AVE PITTSBURGH, PA 15207",1,0,1,0,0,0,2015,12,2,,,,,,4,,,
"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",1,0,0,0,0,1,2015,1,5,Fineview,1,25,42003250900,1,1,1-10,40.4587585954775,-80.0019304117184
"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",3,0,3,0,0,0,2016,9,2,Fineview,1,25,42003250900,1,1,1-10,40.4587585954775,-80.0019304117184
"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",3,0,2,1,0,0,2018,3,6,Fineview,1,25,42003250900,1,1,1-10,40.4587585954775,-80.0019304117184
"100 BLOCK FURLEY ST PITTSBURGH, PA 15220",1,0,0,0,0,1,2017,8,0,Elliott,2,20,42003562600,5,6,1-17,40.4425051005782,-80.0381078905418
"100 BLOCK GARETTA ST PITTSBURGH, PA 15217",2,0,1,1,0,0,2019,1,2,,,,,,4,,,
"100 BLOCK GARETTA ST PITTSBURGH, PA 15217",2,0,1,1,0,0,2019,1,2,,,,,,4,,,
"<100 BLOCK GILFORD CT PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,5,3,,,,,,5,,,
"100 BLOCK GRAPE ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,8,0,,,,,,3,,,
"100 BLOCK GRASMERE ST PITTSBURGH, PA 15205",1,0,0,0,0,1,2016,11,2,Oakwood,2,28,42003562800,5,6,1-19,40.4280489126247,-80.0655089074024
"100 BLOCK GREENBUSH ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2018,4,3,,,,,,3,,,
"100 BLOCK HAWKINS ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2015,8,6,,,,,,1,,,
"100 BLOCK HAZLETT ST PITTSBURGH, PA 15214",4,0,4,0,0,0,2016,11,3,Northview Heights,1,26,42003260900,1,1,1-13,40.4771220938325,-80.0016475315907
"100 BLOCK HAZLETT ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,9,1,Northview Heights,1,26,42003260900,1,1,1-13,40.4771220938325,-80.0016475315907
"100 BLOCK HAZLETT ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,5,1,Northview Heights,1,26,42003260900,1,1,1-13,40.4771220938325,-80.0016475315907
"100 BLOCK HOLT ST PITTSBURGH, PA 15203",3,0,2,0,0,1,2017,3,5,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4767486220488,-80.028215637303
"<100 BLOCK INDUSTRY ST PITTSBURGH, PA 15210",2,0,1,0,1,0,2015,1,4,Beltzhoover,3,18,42003562400,5,3,4-21,40.4206287122311,-79.9997109011818
"<100 BLOCK INDUSTRY ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2017,8,1,Beltzhoover,3,18,42003562400,5,3,4-21,40.4206287122311,-79.9997109011818
"100 BLOCK INDUSTRY ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,2,6,Beltzhoover,3,18,42003562400,5,3,4-16,40.4196269840018,-80.0058939235962
"<100 BLOCK KENWOOD AVE PITTSBURGH, PA 15214",1,0,0,1,0,0,2019,2,5,Perry South,6,26,42003261400,1,1,1-12,40.469511833632,-80.0086179636063
"100 BLOCK KIRK AVE PITTSBURGH, PA 15210",2,0,1,0,0,1,2015,3,4,,,,,,3,,,
"100 BLOCK KNOX AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2017,10,2,Knoxville,3,30,42003300100,5,3,4-6,40.4155725063979,-79.9905877515385
"100 BLOCK KNOX AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,5,1,Knoxville,3,30,42003300100,5,3,4-6,40.4155725063979,-79.9905877515385
